Company,Pizza Name,Type,Size,Price
Pizza Hut,Hand-Tossed,Cheese Pizza,Medium,$8.49
Pizza Hut,Hand-Tossed,Cheese Pizza,Large,$10.49
Pizza Hut,Pan Pizza,Cheese Pizza,Personal,$4.29
Pizza Hut,Pan Pizza,Cheese Pizza,Medium,$8.49
Pizza Hut,Pan Pizza,Cheese Pizza,Large,$10.49
Pizza Hut,Thin N Crispy,Cheese Pizza,Medium,$8.49
Pizza Hut,Thin N Crispy,Cheese Pizza,Large,$10.49
Pizza Hut,Stuffed Crust,Cheese Pizza,Large,$12.49
Pizza Hut,Skinny Slice,Cheese Pizza,Large,$10.49
Pizza Hut,Pepperoni Lover's® Pizza (Hand-Tossed),Classic Recipe Pizzas,Medium,$12.49
Pizza Hut,Pepperoni Lover's® Pizza (Hand-Tossed),Classic Recipe Pizzas,Large,$15.49
Pizza Hut,Pepperoni Lover's® Pizza (Pan Pizza),Classic Recipe Pizzas,Personal,$4.79
Pizza Hut,Pepperoni Lover's® Pizza (Pan Pizza),Classic Recipe Pizzas,Medium,$12.49
Pizza Hut,Pepperoni Lover's® Pizza (Pan Pizza),Classic Recipe Pizzas,Large,$15.49
Pizza Hut,Pepperoni Lover's® Pizza (Thin N Crispy),Classic Recipe Pizzas,Medium,$12.49
Pizza Hut,Pepperoni Lover's® Pizza (Thin N Crispy),Classic Recipe Pizzas,Large,$15.49
Pizza Hut,Pepperoni Lover's® Pizza (Stuffed Crust),Classic Recipe Pizzas,Large,$17.49
Pizza Hut,Pepperoni Lover's® Pizza (Skinny Slice),Classic Recipe Pizzas,Large,$15.49
Pizza Hut,Meat Lover's® Pizza (Hand-Tossed),Classic Recipe Pizzas,Medium,$12.49
Pizza Hut,Meat Lover's® Pizza (Hand-Tossed),Classic Recipe Pizzas,Large,$15.49
Pizza Hut,Meat Lover's® Pizza (Pan Pizza),Classic Recipe Pizzas,Personal,$4.79
Pizza Hut,Meat Lover's® Pizza (Pan Pizza),Classic Recipe Pizzas,Medium,$12.49
Pizza Hut,Meat Lover's® Pizza (Pan Pizza),Classic Recipe Pizzas,Large,$15.49
Pizza Hut,Meat Lover's® Pizza (Thin N Crispy),Classic Recipe Pizzas,Medium,$12.49
Pizza Hut,Meat Lover's® Pizza (Thin N Crispy),Classic Recipe Pizzas,Large,$15.49
Pizza Hut,Meat Lover's® Pizza (Stuffed Crust),Classic Recipe Pizzas,Large,$17.49
Pizza Hut,Meat Lover's® Pizza (Skinny Slice),Classic Recipe Pizzas,Large,$15.49
Pizza Hut,Ultimate Cheese Lover's Pizza (Hand-Tossed),Classic Recipe Pizzas,Medium,$12.49
Pizza Hut,Ultimate Cheese Lover's Pizza (Hand-Tossed),Classic Recipe Pizzas,Large,$15.49
Pizza Hut,Ultimate Cheese Lover's Pizza (Pan Pizza),Classic Recipe Pizzas,Personal,$4.79
